playername,points,cost,ppd
Jordan Norwood DEN ,1.3,3000,43.333333333333336
DeAndrew White ,1.2,3000,40.0
Quan Bray IND ,1.1,3000,36.666666666666664
Adam Humphries TB ,1.1,3300,33.333333333333336
Kevin Smith ,0.9,3000,30.000000000000004
Jaron Brown ARI ,0.9,3000,30.000000000000004
Cody Latimer DEN ,0.9,3000,30.000000000000004
Bryan Walters JAC ,0.8,3000,26.666666666666668
Nate Washington ,0.8,3200,25.0
Jared Abbrederis GB ,0.7,3000,23.333333333333332
Jeff Janis GB ,0.7,3000,23.333333333333332
Devin Hester BAL ,0.6,3000,20.0
Deonte Thompson CHI ,0.6,3000,20.0
Devin Street NE ,0.5,3000,16.666666666666668
Lucky Whitehead DAL ,0.5,3000,16.666666666666668
Myles White NYJ ,0.5,3000,16.666666666666668
Nick Williams KC ,0.5,3000,16.666666666666668
Jerome Simpson ,0.5,3000,16.666666666666668
Russell Shepard TB ,0.4,3000,13.333333333333334
Tre McBride TEN ,0.4,3000,13.333333333333334
Kenbrell Thompkins ,0.4,3000,13.333333333333334
Bradley Marquez LA ,0.3,3000,10.0
Taylor Gabriel ATL ,0.3,3000,10.0
Eric Weems ATL ,0.3,3000,10.0
Adam Thielen MIN ,0.3,3000,10.0
Cordarrelle Patterson MIN ,0.3,3000,10.0
Kevin Norwood CAR ,0.3,3000,10.0
Geremy Davis NYG ,0.3,3000,10.0
Brandon Tate ,0.3,3000,10.0
Kaelin Clay BAL ,0.3,3000,10.0
Keith Mumphery HOU ,0.2,3000,6.666666666666667
Griff Whalen ,0.2,3000,6.666666666666667
Keshawn Martin ,0.1,3000,3.3333333333333335
Mario Alford ,0.0,3000,0.0
Marc Mariani ,0.0,3000,0.0
Corey Fuller DET ,0.0,3000,0.0
Andre Caldwell ,0.0,3000,0.0
Jeremy Butler TB ,0.0,3600,0.0
Rob Gronkowski NE ,9.8,7600,128.94736842105263
Greg Olsen CAR ,8.2,7000,117.14285714285712
Travis Kelce KC ,7.8,4300,181.3953488372093
Coby Fleener NO ,7.6,2700,281.48148148148147
Delanie Walker TEN ,7.2,5600,128.57142857142856
Gary Barnidge CLE ,7.0,4700,148.93617021276597
Jason Witten DAL ,6.3,3900,161.53846153846152
Dwayne Allen IND ,6.3,2500,252.0
Julius Thomas JAC ,6.0,5100,117.6470588235294
Eric Ebron DET ,5.6,2900,193.10344827586204
Tyler Kroft CIN ,5.5,2500,220.0
Zach Miller CHI ,5.3,4000,132.5
Charles Clay BUF ,5.3,3000,176.66666666666666
Austin Seferian-Jenkins TB ,5.1,3800,134.21052631578948
Jordan Cameron MIA ,5.0,2500,200.0
Jared Cook GB ,4.7,2800,167.85714285714286
Kyle Rudolph MIN ,4.4,3300,133.33333333333334
Jacob Tamme ATL ,4.0,3200,125.0
Will Tye NYG ,4.0,3500,114.28571428571429
Crockett Gillmore BAL ,4.0,2900,137.9310344827586
Lance Kendricks LA ,3.7,2500,148.0
Jesse James PIT ,3.6,2500,144.0
Vance McDonald SF ,3.4,2500,136.0
Virgil Green DEN ,3.0,2500,119.99999999999999
Richard Rodgers GB ,2.7,4000,67.5
Luke Willson SEA ,2.6,2500,104.00000000000001
Cameron Brate TB ,2.5,2500,100.0
Darren Fells ARI ,2.4,2500,95.99999999999999
Maxx Williams BAL ,2.3,3000,76.66666666666666
Josh Hill NO ,2.0,2500,80.0
Ryan Hewitt CIN ,2.0,2500,80.0
Jack Doyle IND ,2.0,2500,80.0
Matt Spaeth ,1.8,2500,72.0
C.J. Uzomah CIN ,1.8,2500,72.0
Chris Gragg BUF ,1.8,2500,72.0
Jermaine Gresham ARI ,1.8,2500,72.0
Gavin Escobar DAL ,1.7,2500,68.0
Ed Dickson CAR ,1.7,2900,58.62068965517242
C.J. Fiedorowicz HOU ,1.5,2500,59.99999999999999
Cooper Helfet ,1.5,2500,59.99999999999999
Marcedes Lewis JAC ,1.4,2500,55.99999999999999
Dion Sims MIA ,1.4,2500,55.99999999999999
Anthony Fasano TEN ,1.3,2500,52.00000000000001
Blake Bell SF ,1.2,2500,47.99999999999999
Jim Dray BUF ,1.2,2500,47.99999999999999
Vernon Davis WAS ,1.0,3000,33.333333333333336
Levine Toilolo ATL ,1.0,2500,40.0
Craig Stevens ,1.0,2500,40.0
Rob Housler ,1.0,2500,40.0
Troy Niklas ARI ,0.9,2500,36.0
Rhett Ellison MIN ,0.8,2500,32.0
Kellen Davis NYJ ,0.7,2500,27.999999999999996
James Hanna DAL ,0.7,2500,27.999999999999996
MyCole Pruitt MIN ,0.7,2500,27.999999999999996
Clay Harbor NE ,0.5,2500,20.0
Luke Stocker TB ,0.5,2500,20.0
Justin Perillo GB ,0.4,2500,16.0
Michael Hoomanawanui NO ,0.4,2500,16.0
Cory Harkey LA ,0.4,2500,16.0
Nick O'Leary BUF ,0.4,2500,16.0
Brandon Myers TB ,0.3,2500,11.999999999999998
Jeff Cumberland SD ,0.3,2500,11.999999999999998
Demetrius Harris KC ,0.3,2500,11.999999999999998
Phillip Supernaw TEN ,0.3,2500,11.999999999999998
Asante Cleveland ,0.3,2500,11.999999999999998
Brian Parker NYJ ,0.3,2500,11.999999999999998
Khari Lee ,0.2,2500,8.0
