playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2504775","null","Drew Brees","QB","NO","QB","NO","23.5584","275.2526","null","52","50","5","null","6.0742","44.7483","-5.2517","18.25","297.2179","240.3662","2.9429","null",
"497145","null","Joique Bell","RB","DET","RB","DET","20.6684","143.9245","null","75","51","23","null","8.7187","68.92","17.92","10.7","157.3485","119.8903","5.69","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","20.3169","272.0112","null","65","52","6","null","6.0437","66.3983","14.3983","11.575","296.2865","254.084","6.9344","null",
"2508088","null","NaVorro Bowman","LB","SF","LB","SF","19.2155","143.9745","null","null","53","4","null","3.8388","100.115","47.115","5.1","145.1576","142.2","5.8714","null",
"497326","null","Golden Tate","WR","DET","WR","DET","19.1576","141.2329","null","53","54","18","null","1.8351","59.2983","5.2983","11.75","160.4074","123.5906","4.0283","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","17.7224","139.7978","null","54","55","19","null","1.0847","52.8883","-2.1117","15.65","144.7644","127.0845","7.0402","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","17.4418","120.3971","null","48","56","3","null","6.0583","53.9167","-2.0833","12.15","135.4846","92.3018","4.7129","null",
"2543457","null","Sammy Watkins","WR","BUF","WR","BUF","16.9226","138.9979","null","56","57","20","null","0.7719","54.4983","-2.5017","16.675","150.5091","121.1644","7.0808","null",
"2540154","null","Keenan Allen","WR","SD","WR","SD","16.3529","138.4283","null","45","58","21","null","1.4102","59.8967","1.8967","13.05","150.984","117.0377","7.2417","null",
"2543471","null","Kelvin Benjamin","WR","CAR","WR","CAR","15.9485","138.0238","null","null","59","22","null","2.2904","35.4317","-23.5683","27.725","165.1849","-1.74","15.4486","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","15.7322","138.9883","null","57","60","24","null","7.9335","74.94","14.94","8.825","151.308","101.6418","4.474","13",
"2532966","null","Bobby Wagner","LB","SEA","LB","SEA","15.5589","140.3179","null","null","61","5","null","0.6879","82.015","21.015","5.75","148.1022","127.0862","5.3679","null",
"2541535","null","Paul Worrilow","LB","ATL","LB","ATL","15.1945","139.9535","null","null","62","6","null","1.552","125.2","63.2","3.9","142.569","137.65","4.8523","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","14.6514","266.3456","null","61","63","7","null","3.3393","61.5167","-1.4833","10.55","286.0729","242.5956","3.4412","null",
"71365","null","DeAndre Levy","LB","DET","LB","DET","14.5474","139.3064","null","null","64","7","null","3.2066","91.35","27.35","5.45","149.127","118.9","5.2402","null",
"2540258","null","Travis Kelce","TE","KC","TE","KC","14.2404","117.1957","null","46","65","4","null","9.2656","54.185","-10.815","12.9","133.1021","98.9996","5.4224","null",
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","13.937","136.0123","null","49","66","23","null","1.5496","68.7567","2.7567","11.85","146.3673","125.9138","4.2909","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","13.8949","265.5892","null","55","67","8","null","7.2206","50.3733","-16.6267","13.675","278.4859","238.6849","3.9548","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","13.3791","135.4545","null","63","68","24","null","3.0908","69.6917","1.6917","8.675","153.9994","120.8144","4.27","null",
"2543464","null","C.J. Mosley","LB","BAL","LB","BAL","12.7377","137.4967","null","null","69","8","null","4.2444","82.5","13.5","6.25","148.742","120.4","5.5081","null",
"2505551","null","Andre Johnson","WR","IND","WR","IND","11.3957","133.471","null","40","70","25","null","2.9185","50.0017","-19.9983","13.475","142.9756","105.3035","4.939","null",
"496937","null","Sean Lee","LB","DAL","LB","DAL","9.9439","134.7029","null","null","71","9","null","3.4099","124.35","53.35","3.15","141.3113","120.1346","4.5117","null",
"2543488","null","Jarvis Landry","WR","MIA","WR","MIA","9.181","131.2564","null","81","72","26","null","1.5435","72.0983","0.0983","7.25","141.672","113.0556","4.4829","null",
"2505354","null","Tony Romo","QB","DAL","QB","DAL","8.7292","260.4235","null","68","73","9","null","6.6132","65.88","-7.12","9.675","271.7582","240.7482","2.9292","14",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","8.5266","111.4819","null","67","74","5","null","7.1711","68.1","-5.9","7","117.4715","103.0029","4.6794","null",
"2552475","null","Todd Gurley","RB","STL","RB","STL","8.1672","131.4233","null","59","75","25","null","0.9907","52.7167","-22.2833","19.925","154.1441","95.5483","5.9409","19",
