PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG/SG,Milos Teodosic (10001987),Milos Teodosic,10001987,PG,4700,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,SF/PF,JaMychal Green (10001991),JaMychal Green,10001991,SF,4700,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,PG/SG,Yogi Ferrell (10001999),Yogi Ferrell,10001999,PG,4600,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PF,Bobby Portis (10002007),Bobby Portis,10002007,PF,4600,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,SF/PF,Marcus Morris (10002010),Marcus Morris,10002010,SF,4600,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,PG/SG,Alec Burks (10002028),Alec Burks,10002028,PG,4600,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,SG/SF,Kelly Oubre Jr. (10002014),Kelly Oubre Jr.,10002014,SG,4600,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,SG/SF,E'Twaun Moore (10002019),E'Twaun Moore,10002019,SG,4600,NO@MIA 12/23/2017 08:00PM ET,NO,
,,,,,,,,,SF/PF,Omri Casspi (10002003),Omri Casspi,10002003,SF,4600,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,PF/C,Mason Plumlee (10002024),Mason Plumlee,10002024,PF,4600,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,SG/SF,Wesley Matthews (10002036),Wesley Matthews,10002036,SG,4500,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PF/C,Dirk Nowitzki (10002046),Dirk Nowitzki,10002046,PF,4500,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,SF/PF,Ersan Ilyasova (10002054),Ersan Ilyasova,10002054,SF,4500,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,SG/SF,Buddy Hield (10002041),Buddy Hield,10002041,SG,4500,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SG,Mario Hezonja (10002062),Mario Hezonja,10002062,SG,4500,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,PG/SG,Malcolm Brogdon (10002032),Malcolm Brogdon,10002032,PG,4500,MIL@CHA 12/23/2017 07:00PM ET,MIL,
,,,,,,,,,SF/PF,Wilson Chandler (10002050),Wilson Chandler,10002050,SF,4500,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,SF/PF,Trey Lyles (10002058),Trey Lyles,10002058,SF,4500,DEN@GS 12/23/2017 08:30PM ET,DEN,
