QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,TE,Beau Brinkley (9758461),Beau Brinkley,9758461,TE,2500,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,TE,Phillip Supernaw (9758463),Phillip Supernaw,9758463,TE,2500,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,TE,Blake Bell (9758492),Blake Bell,9758492,TE,2500,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,TE,David Morgan (9758494),David Morgan,9758494,TE,2500,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,TE,Kevin McDermott (9758496),Kevin McDermott,9758496,TE,2500,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,TE,Jeremy Sprinkle (9758523),Jeremy Sprinkle,9758523,TE,2500,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,TE,Stephen Anderson (9758553),Stephen Anderson,9758553,TE,2500,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,TE,Gerald Everett (9758583),Gerald Everett,9758583,TE,2500,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,TE,Derek Carrier (9758585),Derek Carrier,9758585,TE,2500,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,TE,Levine Toilolo (9758614),Levine Toilolo,9758614,TE,2500,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,TE,Eric Saubert (9758616),Eric Saubert,9758616,TE,2500,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,TE,Blake Jarwin (9758645),Blake Jarwin,9758645,TE,2500,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,TE,James Hanna (9758647),James Hanna,9758647,TE,2500,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,TE,Geoff Swaim (9758649),Geoff Swaim,9758649,TE,2500,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,TE,Rico Gathers (9758651),Rico Gathers,9758651,TE,2500,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,TE,Jerell Adams (9758677),Jerell Adams,9758677,TE,2500,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,TE,Matt LaCosse (9758679),Matt LaCosse,9758679,TE,2500,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,TE,Rhett Ellison (9758681),Rhett Ellison,9758681,TE,2500,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,TE,Cole Hikutini (9758706),Cole Hikutini,9758706,TE,2500,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,TE,Garrett Celek (9758708),Garrett Celek,9758708,TE,2500,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,TE,Kyle Nelson (9758710),Kyle Nelson,9758710,TE,2500,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,DST,Bills  (9758041),Bills ,9758041,DST,2400,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,DST,Falcons  (9758618),Falcons ,9758618,DST,2400,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,DST,Texans  (9758555),Texans ,9758555,DST,2300,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,DST,Cowboys  (9758653),Cowboys ,9758653,DST,2200,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,DST,Colts  (9758240),Colts ,9758240,DST,2100,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,DST,Browns  (9758178),Browns ,9758178,DST,2000,CLE@DET 11/12/2017 01:00PM ET,CLE,
