QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Sammy Watkins (9758571),Sammy Watkins,9758571,WR,4800,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,RB,Tevin Coleman (9758592),Tevin Coleman,9758592,RB,4800,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,QB,C.J. Beathard (9758685),C.J. Beathard,9758685,QB,4800,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,RB,Doug Martin (9758371),Doug Martin,9758371,RB,4700,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,QB,AJ McCarron (9758399),AJ McCarron,9758399,QB,4700,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,Rishard Matthews (9758445),Rishard Matthews,9758445,WR,4700,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,QB,Colt McCoy (9758500),Colt McCoy,9758500,QB,4700,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,TE,Vernon Davis (9758519),Vernon Davis,9758519,TE,4700,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,WR,Will Fuller V (9758541),Will Fuller V,9758541,WR,4700,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,QB,Chase Daniel (9758043),Chase Daniel,9758043,QB,4600,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,QB,DeShone Kizer (9758141),DeShone Kizer,9758141,QB,4600,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,RB,Chris Ivory (9758309),Chris Ivory,9758309,RB,4600,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,TE,Kyle Rudolph (9758490),Kyle Rudolph,9758490,TE,4600,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,WR,Cooper Kupp (9758567),Cooper Kupp,9758567,WR,4600,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,QB,Mitchell Trubisky (9758074),Mitchell Trubisky,9758074,QB,4500,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,QB,Joe Callahan (9758111),Joe Callahan,9758111,QB,4500,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,QB,Kevin Hogan (9758142),Kevin Hogan,9758142,QB,4500,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,QB,Cody Kessler (9758143),Cody Kessler,9758143,QB,4500,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,RB,Ameer Abdullah (9758181),Ameer Abdullah,9758181,RB,4500,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,QB,Landry Jones (9758242),Landry Jones,9758242,QB,4500,PIT@IND 11/12/2017 01:00PM ET,PIT,
