P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Martin Perez (10577113),Martin Perez,10577113,P,6600,SEA@TEX 04/21/2018 08:05PM ET,TEX,-4.15
,,,,,,,,,,,RP,Brad Peacock (10577115),Brad Peacock,10577115,P,6400,HOU@CWS 04/21/2018 07:10PM ET,HOU,4.79
,,,,,,,,,,,SP,Mike Leake (10577118),Mike Leake,10577118,P,6400,SEA@TEX 04/21/2018 08:05PM ET,SEA,12.05
,,,,,,,,,,,SP,Antonio Senzatela (10577119),Antonio Senzatela,10577119,P,6400,CHC@COL 04/21/2018 08:10PM ET,COL,1.04
,,,,,,,,,,,SP,Wade Miley (10577116),Wade Miley,10577116,P,6400,MIA@MIL 04/21/2018 07:10PM ET,MIL,0
,,,,,,,,,,,SP,JC Ramirez (10577117),JC Ramirez,10577117,P,6400,SF@LAA 04/21/2018 09:07PM ET,LAA,0.3
,,,,,,,,,,,SP,Jharel Cotton (10577114),Jharel Cotton,10577114,P,6400,BOS@OAK 04/21/2018 09:05PM ET,OAK,0
,,,,,,,,,,,SP,Julio Teheran (10576562),Julio Teheran,10576562,P,6300,NYM@ATL 04/21/2018 07:10PM ET,ATL,11.65
,,,,,,,,,,,SP,Matt Harvey (10577120),Matt Harvey,10577120,P,6300,NYM@ATL 04/21/2018 07:10PM ET,NYM,8.66
,,,,,,,,,,,SP,Tyler Anderson (10576563),Tyler Anderson,10576563,P,6200,CHC@COL 04/21/2018 08:10PM ET,COL,9.35
,,,,,,,,,,,SP,Wei-Yin Chen (10577121),Wei-Yin Chen,10577121,P,6200,MIA@MIL 04/21/2018 07:10PM ET,MIA,0
,,,,,,,,,,,SP,Michael Kopech (10577122),Michael Kopech,10577122,P,6100,HOU@CWS 04/21/2018 07:10PM ET,CWS,0
,,,,,,,,,,,SP,German Marquez (10577124),German Marquez,10577124,P,6100,CHC@COL 04/21/2018 08:10PM ET,COL,10.95
,,,,,,,,,,,SP,Brandon Woodruff (10577123),Brandon Woodruff,10577123,P,6100,MIA@MIL 04/21/2018 07:10PM ET,MIL,3.98
,,,,,,,,,,,SP,Collin McHugh (10577125),Collin McHugh,10577125,P,6000,HOU@CWS 04/21/2018 07:10PM ET,HOU,6.45
,,,,,,,,,,,SP,Doug Fister (10577128),Doug Fister,10577128,P,6000,SEA@TEX 04/21/2018 08:05PM ET,TEX,11.45
,,,,,,,,,,,SP,Chad Bettis (10577126),Chad Bettis,10577126,P,6000,CHC@COL 04/21/2018 08:10PM ET,COL,18.36
,,,,,,,,,,,SP,Jeff Hoffman (10577129),Jeff Hoffman,10577129,P,6000,CHC@COL 04/21/2018 08:10PM ET,COL,0
,,,,,,,,,,,SP,Jen-Ho Tseng (10577130),Jen-Ho Tseng,10577130,P,6000,CHC@COL 04/21/2018 08:10PM ET,CHC,0
,,,,,,,,,,,SP,Erick Fedde (10577127),Erick Fedde,10577127,P,6000,WAS@LAD 04/21/2018 09:10PM ET,WAS,0
,,,,,,,,,,,SP,Hisashi Iwakuma (10577132),Hisashi Iwakuma,10577132,P,5900,SEA@TEX 04/21/2018 08:05PM ET,SEA,0
,,,,,,,,,,,SP,Jose Urena (10576564),Jose Urena,10576564,P,5900,MIA@MIL 04/21/2018 07:10PM ET,MIA,9.21
,,,,,,,,,,,SP,Daniel Mengden (10577131),Daniel Mengden,10577131,P,5900,BOS@OAK 04/21/2018 09:05PM ET,OAK,14.3
,,,,,,,,,,,RP,Parker Bridwell (10577133),Parker Bridwell,10577133,P,5800,SF@LAA 04/21/2018 09:07PM ET,LAA,-12.45
,,,,,,,,,,,SP,Bryan Mitchell (10577137),Bryan Mitchell,10577137,P,5700,SD@ARI 04/21/2018 08:10PM ET,SD,3.36
,,,,,,,,,,,SP,Luis Perdomo (10577138),Luis Perdomo,10577138,P,5700,SD@ARI 04/21/2018 08:10PM ET,SD,5.48
,,,,,,,,,,,SP,Matt Moore (10577136),Matt Moore,10577136,P,5700,SEA@TEX 04/21/2018 08:05PM ET,TEX,8.12
,,,,,,,,,,,SP,Jhoulys Chacin (10577139),Jhoulys Chacin,10577139,P,5700,MIA@MIL 04/21/2018 07:10PM ET,MIL,8.41
,,,,,,,,,,,SP,Andrew Suarez (10577134),Andrew Suarez,10577134,P,5700,SF@LAA 04/21/2018 09:07PM ET,SF,15.6
,,,,,,,,,,,SP,Ty Blach (10577140),Ty Blach,10577140,P,5700,SF@LAA 04/21/2018 09:07PM ET,SF,8.01
,,,,,,,,,,,OF,Mookie Betts (10576569),Mookie Betts,10576569,OF,5700,BOS@OAK 04/21/2018 09:05PM ET,BOS,13.56
,,,,,,,,,,,SP,Steven Wright (10577135),Steven Wright,10577135,P,5700,BOS@OAK 04/21/2018 09:05PM ET,BOS,0
,,,,,,,,,,,SP,Luiz Gohara (10577141),Luiz Gohara,10577141,P,5600,NYM@ATL 04/21/2018 07:10PM ET,ATL,0
,,,,,,,,,,,SP,Scott Kazmir (10577143),Scott Kazmir,10577143,P,5600,NYM@ATL 04/21/2018 07:10PM ET,ATL,0
,,,,,,,,,,,SP,Anibal Sanchez (10577145),Anibal Sanchez,10577145,P,5600,NYM@ATL 04/21/2018 07:10PM ET,ATL,16.23
,,,,,,,,,,,SP,Bartolo Colon (10576565),Bartolo Colon,10576565,P,5600,SEA@TEX 04/21/2018 08:05PM ET,TEX,15.55
,,,,,,,,,,,RP,Matt Bush (10577146),Matt Bush,10577146,P,5600,SEA@TEX 04/21/2018 08:05PM ET,TEX,2.88
,,,,,,,,,,,OF,Charlie Blackmon (10576570),Charlie Blackmon,10576570,OF,5600,CHC@COL 04/21/2018 08:10PM ET,COL,11.62
,,,,,,,,,,,SP,Andrew Heaney (10577142),Andrew Heaney,10577142,P,5600,SF@LAA 04/21/2018 09:07PM ET,LAA,8.7
,,,,,,,,,,,SP,Brian Johnson (10577144),Brian Johnson,10577144,P,5600,BOS@OAK 04/21/2018 09:05PM ET,BOS,7.51
,,,,,,,,,,,OF,Mike Trout (10576571),Mike Trout,10576571,OF,5500,SF@LAA 04/21/2018 09:07PM ET,LAA,11.05
,,,,,,,,,,,SP,Hector Velazquez (10577147),Hector Velazquez,10577147,P,5500,BOS@OAK 04/21/2018 09:05PM ET,BOS,10.06
,,,,,,,,,,,SP,Chris Flexen (10577150),Chris Flexen,10577150,P,5400,NYM@ATL 04/21/2018 07:10PM ET,NYM,0
,,,,,,,,,,,SP,James Shields (10577149),James Shields,10577149,P,5400,HOU@CWS 04/21/2018 07:10PM ET,CWS,4.38
,,,,,,,,,,,SP,Ariel Miranda (10577151),Ariel Miranda,10577151,P,5400,SEA@TEX 04/21/2018 08:05PM ET,SEA,13.25
,,,,,,,,,,,3B,Kris Bryant (10576572),Kris Bryant,10576572,3B,5400,CHC@COL 04/21/2018 08:10PM ET,CHC,10.65
,,,,,,,,,,,SP,Junior Guerra (10577152),Junior Guerra,10577152,P,5400,MIA@MIL 04/21/2018 07:10PM ET,MIL,21.08
,,,,,,,,,,,SP,Nick Tropeano (10577148),Nick Tropeano,10577148,P,5400,SF@LAA 04/21/2018 09:07PM ET,LAA,14.4
,,,,,,,,,,,SP,Joey Lucchesi (10577153),Joey Lucchesi,10577153,P,5300,SD@ARI 04/21/2018 08:10PM ET,SD,21.54
,,,,,,,,,,,SP,A.J. Cole (10577154),A.J. Cole,10577154,P,5300,WAS@LAD 04/21/2018 09:10PM ET,WAS,1.01
,,,,,,,,,,,SP,Jaime Barria (10577155),Jaime Barria,10577155,P,5300,SF@LAA 04/21/2018 09:07PM ET,LAA,16.25
