"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"QB","Sean Renfree",5000,"Phi@Atl 07:10PM ET",0
"QB","Mike Glennon",5000,"Ten@TB 04:25PM ET",16.930
"QB","B.J. Daniels",5000,"Sea@StL 01:00PM ET",0
"QB","Ryan Nassib",5000,"NYG@Dal 08:30PM ET",0.525
"QB","Zac Dysert",5000,"Bal@Den 04:25PM ET",0
"QB","Matt McGloin",5000,"Cin@Oak 04:25PM ET",7.460
"QB","Matt Barkley",5000,"Phi@Atl 07:10PM ET",0.000
"QB","Zach Mettenberger",5000,"Ten@TB 04:25PM ET",11.840
"QB","Aaron Murray",5000,"KC@Hou 01:00PM ET",0
"QB","Brock Osweiler",5000,"Bal@Den 04:25PM ET",1.520
"QB","Bryn Renner",5000,"Bal@Den 04:25PM ET",0
"QB","Seth Lobato",5000,"Ten@TB 04:25PM ET",0
"QB","Bryce Petty",5000,"Cle@NYJ 01:00PM ET",0
"QB","Jeff Tuel",5000,"Car@Jax 01:00PM ET",0
"QB","Garrett Gilbert",5000,"Det@SD 04:05PM ET",0
"QB","Logan Thomas",5000,"NO@Ari 04:05PM ET",2.413
"QB","AJ McCarron",5000,"Cin@Oak 04:25PM ET",0
"QB","Tom Savage",5000,"KC@Hou 01:00PM ET",1.240
"QB","Brad Sorensen",5000,"Det@SD 04:05PM ET",0
"QB","David Fales",5000,"GB@Chi 01:00PM ET",0
"QB","Stephen Morris",5000,"Car@Jax 01:00PM ET",0
"QB","Jake Heaps",5000,"Cle@NYJ 01:00PM ET",0
"QB","Garrett Grayson",5000,"NO@Ari 04:05PM ET",0
"QB","Chase Rettig",5000,"Det@SD 04:05PM ET",0
"QB","Tyler Bray",5000,"KC@Hou 01:00PM ET",0
"QB","Connor Shaw",5000,"Cle@NYJ 01:00PM ET",5.980
"QB","Phillip Sims",5000,"NO@Ari 04:05PM ET",0
"QB","Jameill Showers",5000,"NYG@Dal 08:30PM ET",0
"QB","Trevor Siemian",5000,"Bal@Den 04:25PM ET",0
"QB","Shane Carden",5000,"GB@Chi 01:00PM ET",0
"QB","Hutson Mason",5000,"Mia@Was 01:00PM ET",0
"QB","Dylan Thompson",5000,"Min@SF 10:20PM ET",0
"QB","Bryan Bennett",5000,"Ind@Buf 01:00PM ET",0
"QB","Anthony Boone",5000,"Det@SD 04:05PM ET",0
"QB","Cody Fajardo",5000,"Cin@Oak 04:25PM ET",0
"QB","Sean Mannion",5000,"Sea@StL 01:00PM ET",0
"QB","Jerry Lovelocke",5000,"Bal@Den 04:25PM ET",0
"QB","Brett Hundley",5000,"GB@Chi 01:00PM ET",0
"RB","Tre Mason",5000,"Sea@StL 01:00PM ET",11.858
"QB","Cole Stoudt",5000,"Det@SD 04:05PM ET",0
"QB","Johnny Manziel",5000,"Cle@NYJ 01:00PM ET",2.780
"QB","Taylor Heinicke",5000,"Min@SF 10:20PM ET",0
"QB","Alex Tanney",5000,"Ten@TB 04:25PM ET",0
"QB","Matt Blanchard",5000,"GB@Chi 01:00PM ET",0
"WR","Breshad Perriman",5000,"Bal@Den 04:25PM ET",0
"WR","Kevin White",5000,"GB@Chi 01:00PM ET",0
"QB","Jake Waters",5000,"Car@Jax 01:00PM ET",0
"QB","Dustin Vaughan",5000,"NYG@Dal 08:30PM ET",0
"RB","C.J. Spiller",4900,"NO@Ari 04:05PM ET",8.056
"WR","Charles Johnson",4900,"Min@SF 10:20PM ET",7.867
"WR","Kenny Britt",4800,"Sea@StL 01:00PM ET",9.263
"TE","Travis Kelce",4800,"KC@Hou 01:00PM ET",11.825
"RB","Todd Gurley",4800,"Sea@StL 01:00PM ET",0
"RB","Tevin Coleman",4800,"Phi@Atl 07:10PM ET",0
"WR","Kenny Stills",4700,"Mia@Was 01:00PM ET",11.993
"RB","Giovani Bernard",4700,"Cin@Oak 04:25PM ET",14.579
"WR","Doug Baldwin",4600,"Sea@StL 01:00PM ET",11.372
"RB","Isaiah Crowell",4600,"Cle@NYJ 01:00PM ET",7.775
"RB","Doug Martin",4500,"Ten@TB 04:25PM ET",7.618
"WR","John Brown",4500,"NO@Ari 04:05PM ET",9.259
"TE","Julius Thomas",4500,"Car@Jax 01:00PM ET",12.729
"RB","Darren McFadden",4400,"NYG@Dal 08:30PM ET",7.600
"WR","Michael Crabtree",4400,"Cin@Oak 04:25PM ET",10.138
"WR","Percy Harvin",4400,"Ind@Buf 01:00PM ET",10.500
"WR","Davante Adams",4400,"GB@Chi 01:00PM ET",7.389
"WR","Greg Jennings",4300,"Mia@Was 01:00PM ET",10.575
"WR","Dwayne Bowe",4300,"Cle@NYJ 01:00PM ET",9.027
"TE","Martellus Bennett",4300,"GB@Chi 01:00PM ET",14.225
"RB","Devonta Freeman",4300,"Phi@Atl 07:10PM ET",5.519
"WR","Marqise Lee",4300,"Car@Jax 01:00PM ET",6.623
"RB","Bishop Sankey",4300,"Ten@TB 04:25PM ET",6.138
"WR","James Jones",4200,"Cin@Oak 04:25PM ET",11.100
"TE","Antonio Gates",4200,"Det@SD 04:05PM ET",13.944
"WR","Brian Quick",4200,"Sea@StL 01:00PM ET",11.500
"RB","Shane Vereen",4200,"NYG@Dal 08:30PM ET",10.089
"WR","Marvin Jones",4200,"Cin@Oak 04:25PM ET",0
"WR","Justin Hunter",4200,"Ten@TB 04:25PM ET",7.983
"RB","Chris Ivory",4100,"Cle@NYJ 01:00PM ET",9.963
"WR","DeVante Parker",4100,"Mia@Was 01:00PM ET",0
"TE","Jason Witten",4000,"NYG@Dal 08:30PM ET",10.483
"WR","Terrance Williams",4000,"NYG@Dal 08:30PM ET",10.117
"WR","Allen Hurns",4000,"Car@Jax 01:00PM ET",10.044
"RB","Ameer Abdullah",4000,"Det@SD 04:05PM ET",0
"RB","Reggie Bush",3900,"Min@SF 10:20PM ET",10.058
"WR","Eddie Royal",3900,"GB@Chi 01:00PM ET",11.575
"RB","Fred Jackson",3900,"Ind@Buf 01:00PM ET",13.471
"RB","Montee Ball",3900,"Bal@Den 04:25PM ET",7.480
"WR","Dorial Green-Beckham",3900,"Ten@TB 04:25PM ET",0
"WR","Reggie Wayne",3800,"Ind@Buf 01:00PM ET",8.783
"TE","Jordan Cameron",3800,"Mia@Was 01:00PM ET",8.140
"RB","Charles Sims",3800,"Ten@TB 04:25PM ET",7.688
"RB","David Johnson",3800,"NO@Ari 04:05PM ET",0
"WR","Chris Conley",3800,"KC@Hou 01:00PM ET",0
"WR","Devin Funchess",3800,"Car@Jax 01:00PM ET",0
"WR","Jaelen Strong",3800,"KC@Hou 01:00PM ET",0
"WR","Stevie Johnson",3700,"Det@SD 04:05PM ET",7.654
"RB","Danny Woodhead",3700,"Det@SD 04:05PM ET",4.067
"TE","Charles Clay",3700,"Ind@Buf 01:00PM ET",9.964
"WR","Jermaine Kearse",3700,"Sea@StL 01:00PM ET",7.958
"WR","Cody Latimer",3700,"Bal@Den 04:25PM ET",0.538
"RB","Matt Jones",3700,"Mia@Was 01:00PM ET",0
"RB","James Starks",3600,"GB@Chi 01:00PM ET",4.683
"RB","Ray Rice",3600,"Bal@Den 04:25PM ET",0
"WR","Nick Toon",3600,"NO@Ari 04:05PM ET",5.488
"RB","Robert Turbin",3600,"Sea@StL 01:00PM ET",4.450
"RB","Ryan Mathews",3600,"Phi@Atl 07:10PM ET",11.650
"RB","Knile Davis",3600,"KC@Hou 01:00PM ET",8.063
"TE","Zach Ertz",3600,"Phi@Atl 07:10PM ET",9.263
"RB","Alfred Blue",3600,"KC@Hou 01:00PM ET",6.256
"WR","Cecil Shorts III",3600,"KC@Hou 01:00PM ET",9.614
"RB","Terrance West",3600,"Cle@NYJ 01:00PM ET",8.336
"WR","Phillip Dorsett",3600,"Ind@Buf 01:00PM ET",0
"RB","Pierre Thomas",3500,"NO@Ari 04:05PM ET",11.182
"WR","Devin Hester",3500,"Phi@Atl 07:10PM ET",7.188
